iter	Passed	Remaining
949	8506	447
950	8517	438
951	8526	429
952	8536	421
953	8545	412
954	8554	403
955	8562	394
956	8571	385
957	8581	376
958	8593	367
959	8604	358
960	8614	349
961	8628	340
962	8639	331
963	8650	323
964	8658	314
965	8674	305
966	8683	296
967	8693	287
968	8702	278
969	8710	269
970	8718	260
971	8726	251
972	8734	242
973	8742	233
974	8750	224
975	8758	215
976	8766	206
977	8773	197
978	8781	188
979	8788	179
980	8796	170
981	8803	161
982	8810	152
983	8818	143
984	8825	134
985	8832	125
986	8839	116
987	8846	107
988	8853	98
989	8861	89
990	8869	80
991	8877	71
992	8886	62
993	8894	53
994	8904	44
995	8913	35
996	8921	26
997	8929	17
998	8938	8
999	8946	0
